method,x,runs,runs_completed,completion_rate_percent,completion_ci_low,completion_ci_high,uav_completion_rate_percent,collision_rate_percent,collision_ci_high,dcrit_violation_rate_percent,success_rate_percent,success_ci_low,worst_dmin_all_m,worst_dmin_completed_m,mean_dmin_all_m,mean_dmin_completed_m,ci95_dmin_completed_m,margin_to_dcrit_m,mean_elongation_completed,ci95_elongation_completed,max_elongation_completed,mean_lateral_error_completed_m,ci95_lateral_error_completed_m,max_lateral_error_completed_m,mean_lateral_rmse_completed_m,ci95_lateral_rmse_completed_m,max_lateral_rmse_completed_m,mean_max_path_deviation_completed_m,ci95_max_path_deviation_completed_m,mean_mission_time_completed_s,ci95_mission_time_completed_s,worst_mission_time_completed_s,mean_information_age_s,max_information_age_s,dmin_drop_m,dmin_drop_ci_low_m,dmin_drop_ci_high_m,degradacao,comparavel
orca_nd18,20.0,100,46,46.0,36.56064385333187,55.73531460647615,46.2,0.0,3.699480747600191,0.0,46.0,36.56064385333187,3.988991035678217,3.988991035678217,3.9978309289154583,3.9953307144476033,0.0005465297595049696,-0.0046692855523966514,1.0463319964487028,0.002251370505714432,1.074425310046659,1.3241062326881465,0.02955790182822924,1.6960999402999815,1.8053709013326416,0.02930390762351873,2.1111941815403843,3.748189858885222,0.05842607530470193,144.37173913043478,6.387893015632944,266.7,0.037482029880256944,1.95,0.004668668686097721,0.00412213892039773,0.005215198451797712,mínima,True
orca_nd26,20.0,100,90,90.0,82.56326956323346,94.4771458386864,90.0,0.0,3.699480747600191,0.0,90.0,82.56326956323346,3.9902474746745957,3.9902474746745957,3.996235887550183,3.995821156707382,0.0003461004838132709,-0.004178843292617973,1.038019909330739,0.0019645203629016406,1.0773806070323064,1.403777119257423,0.03892890926780291,2.1782378181513704,1.8092724534682334,0.031787101357069567,2.4449688806875334,3.6513996039982204,0.03423440294450041,159.655,10.19949853074073,372.3,0.03743806510515089,1.3499999999999999,0.004178612202565102,0.0038325117103785856,0.0045247126947516175,mínima,True
apf,30.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,0.0,100.0,96.30051925239981,4.113138113544012,4.113138113544012,4.982066094119031,4.982066094119031,0.07031193078459824,0.9820660941190313,1.448774007950413,0.01451544335601435,1.6725608760070259,3.9553322942403937,0.05689732320176938,4.485103049551664,5.119664873647672,0.04703605683828285,5.5147022803284305,8.670816094038637,0.05403650134035557,151.1655,3.038025941112023,201.45,0.06408996143512488,1.95,0.030794635723535357,-0.061238808264528696,0.12282807971159941,não,True
orca_nd08,30.0,100,17,17.0,10.893476059773155,25.548181233642975,18.0,0.0,3.699480747600191,0.0,17.0,10.893476059773155,3.988654644837581,3.988654644837581,3.997435469020997,3.9949685893320463,0.0009974115333517722,-0.005031410667953651,1.0884338958285233,0.0055001287914027315,1.1102960691273305,1.4407315915822518,0.06640360259158498,1.686612144975476,1.8678016632640144,0.04812330691959692,2.022730035616139,3.8055873616205727,0.08178701788804012,249.89117647058822,32.48390620363221,369.75,0.06424355861358629,2.25,0.005028064813574318,0.004030650281878704,0.006025479345269932,mínima,False
orca_nd18,30.0,100,44,44.0,34.67186540096833,53.7720722887437,44.0,0.0,3.699480747600191,0.0,44.0,34.67186540096833,3.982890869272664,3.982890869272664,3.99803923364303,3.995553205662847,0.0008089433549339943,-0.004446794337153115,1.0470539175882423,0.0024159524079018203,1.078673719233573,1.3320833571082547,0.04666139087505058,2.0683793557393373,1.798511832735513,0.03998869463647818,2.211378023704408,3.703416492731776,0.06254887331388706,157.8375,23.051886850169343,641.85,0.06415918884029456,2.25,0.004446177470854185,0.003637234111748881,0.0052551208299594886,mínima,True
orca_nd26,30.0,100,84,84.0,75.57955544110557,89.90479765052628,84.0,0.0,3.699480747600191,0.0,84.0,75.57955544110557,3.9873718576240913,3.9873718576240913,3.996289169032607,3.9955853163321864,0.00035822051788969827,-0.0044146836678136125,1.038619494923029,0.0018125079302425495,1.0635447277184322,1.361116673508045,0.0431955479630708,2.2773951596296724,1.7613489961168893,0.03598025904922606,2.5120233716297284,3.578031206253562,0.04148328024930976,162.6535714285714,10.56832705628018,385.05,0.064105532731247,1.95,0.004414452577760741,0.0040562320517996174,0.004772673103721865,mínima,True
apf,40.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,0.0,100.0,96.30051925239981,4.122482714114402,4.122482714114402,4.916630037653473,4.916630037653473,0.0662257780197654,0.9166300376534728,1.4500229910449378,0.014505342626856885,1.7191874421249622,3.912373465382165,0.0510642226840192,4.48044566272021,5.090943806265131,0.04304721179988736,5.497340273443914,8.647092486601501,0.05143635726707648,152.76,2.9088610665548957,193.35,0.09973380771415628,2.25,0.09623069218909386,0.007250365445620757,0.18521101893256697,mínima,True
orca_nd08,40.0,100,26,26.0,18.40457812698646,35.37117263186163,26.9,0.0,3.699480747600191,0.0,26.0,18.40457812698646,3.9870398553072643,3.9870398553072643,3.9963561316389837,3.994920842172629,0.0009226634453780049,-0.005079157827371006,1.087679291839911,0.00414593090639751,1.1146168353759216,1.4178172741914856,0.046228554862173137,1.638804529440233,1.8375264377943887,0.03715348707810481,2.0229813174259186,3.7852967787999012,0.05884198380792343,246.15,14.667283999508589,315.3,0.09998826862052401,2.85,0.005075811972991673,0.004153144914112587,0.005998479031870759,mínima,False
orca_nd18,40.0,100,49,49.0,39.42183009238615,58.65215952256586,49.0,0.0,3.699480747600191,0.0,49.0,39.42183009238615,3.9864525781094913,3.9864525781094913,3.9976443635291776,3.995202406347685,0.0006058708536888019,-0.004797593652314802,1.0483560782277774,0.00239837767980241,1.080163076508721,1.2952924157496781,0.03390853857382908,1.7031630746820716,1.7614077106917092,0.033387384593576284,2.10454600496615,3.6798881853556407,0.04580690112506667,156.03979591836733,5.1158429938924375,228.29999999999998,0.09981182696916124,2.85,0.004796976786015872,0.004191105926713807,0.005402847645317937,mínima,True
orca_nd26,40.0,100,83,83.0,74.45181876635702,89.10652394022685,83.0,0.0,3.699480747600191,0.0,83.0,74.45181876635702,3.981164342566027,3.981164342566027,3.9963102679065448,3.995557879747481,0.0005566189267360583,-0.004442120252519111,1.0403557594279367,0.0018006749474311367,1.0727048497721863,1.3518408696719337,0.028401825969091698,1.893484847334857,1.7518167063666952,0.02412278680589041,2.131787315664449,3.5996950809648824,0.033050278516841176,169.30481927710844,14.014734006999047,614.1,0.09979948106937396,2.85,0.004441889162466239,0.0038852702305378598,0.0049985080943946185,mínima,True
apf,50.0,100,100,100.0,96.30051925239981,99.99999999999999,100.0,0.0,3.699480747600191,0.0,100.0,96.30051925239981,4.298957801499191,4.298957801499191,4.932077854696752,4.932077854696752,0.06538943452615924,0.9320778546967521,1.4555201822836024,0.012166786359793964,1.6607766503665224,3.9452500279800167,0.0536948683935622,4.580802885400442,5.121512497624669,0.043470729829084745,5.5575363478397115,8.676603345201208,0.04696447671146035,152.4825,2.4310959786502795,190.95,0.14945236402640458,3.4499999999999997,0.08078287514581461,-0.007583108357684623,0.16914885864931384,não,True
orca_nd08,50.0,100,26,26.0,18.40457812698646,35.37117263186163,27.2,0.0,3.699480747600191,0.0,26.0,18.40457812698646,3.9818716815823834,3.9818716815823834,3.994226006921383,3.9924197100250995,0.0012554915693067086,-0.007580289974900456,1.0827875728387812,0.003823438817102966,1.1045115697814711,1.4867336474359383,0.07679420330131886,2.1603759581872857,1.8740441356965858,0.05777437328892329,2.2632521565762715,3.7714114648057673,0.08029128769477496,308.8384615384615,93.0483185008456,1401.6,0.14985195950300018,3.75,0.007576944120521123,0.006321449895644694,0.008832438345397552,mínima,False
