run_id,seed,experiment_scenario,simulation_completed,executed_frames,visual_mode,attraction_gain,current_repulsion_gain,future_repulsion_ratio,future_repulsion_gain,damping_gain,influence_radius_m,critical_distance_ratio,critical_distance_m,conflict_waypoint_visitation_radius_m,random_force_max_ratio,attraction_waypoint_window,future_repulsion_waypoint_window,emergency_shares_full_route,communication_period_steps,communication_period_s,communication_frequency_hz,communication_delay_steps,communication_delay_s,configured_packet_loss_probability,transmitted_packets,application_payload_total_bytes,mean_packet_payload_bytes,maximum_packet_payload_bytes,aggregate_application_bandwidth_kbps,mean_uav_application_bandwidth_kbps,maximum_uav_application_bandwidth_kbps,receiver_delivery_attempts,receiver_dropped_packets,receiver_delivered_packets,observed_receiver_packet_loss_ratio,mean_information_age_s,maximum_information_age_s,localization_sigma_xy_m,localization_sigma_z_m,mean_rms_acceleration_m_s2,mean_conflict_rms_acceleration_m_s2,theoretical_max_speed_m_s,maximum_observed_speed_m_s,minimum_inter_uav_distance_m,closest_uav_pair,minimum_distance_frame,collision_distance_threshold_m,collision_detected,mean_lateral_error_m,mean_lateral_rmse_m,mean_maximum_path_deviation_m,maximum_path_deviation_m,mean_trajectory_elongation_index,total_uavs,uavs_considered_in_metrics
27,1027,2,True,1005,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4020,358596,89.20298507462687,273,19.02997014925373,4.757492537313433,7.3143084577114434,12060,0,12060,0.0,0.0,0.0,0.0,0.0,0.602531829670987,1.9492305903102336,0.4301162633521313,0.4301162633521314,6.000464634670335,D1-D2,474,1.0,False,0.6821538735224253,1.220865616808964,3.2026476721935033,6.924300178798176,1.0814211811875254,4,4
28,1028,2,True,1006,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4024,358644,89.12624254473161,273,19.01359840954274,4.753399602385685,7.308151093439363,12072,0,12072,0.0,0.0,0.0,0.0,0.0,0.6092070683136751,1.9617844659485923,0.4301162633521313,0.4301162633521314,6.034643548354337,D1-D2,473,1.0,False,0.6929945968841777,1.241358797414592,3.229847623266382,6.903011045060365,1.0828441015091026,4,4
29,1029,2,True,1007,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4028,358848,89.08838133068521,273,19.00552135054618,4.751380337636545,7.302005958291957,12084,0,12084,0.0,0.0,0.0,0.0,0.0,0.5810436579329759,1.8717779607751917,0.4301162633521313,0.4301162633521314,5.97645806022511,D1-D2,475,1.0,False,0.6784619201076318,1.212328959729672,3.191944041467987,6.889076502358833,1.0816938452635432,4,4
30,1030,2,True,1007,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4028,358752,89.06454816285998,273,19.000436941410133,4.750109235352533,7.302005958291957,12084,0,12084,0.0,0.0,0.0,0.0,0.0,0.5918885656424288,1.9175397279510358,0.4301162633521313,0.4301162633521314,5.968319218500239,D1-D2,475,1.0,False,0.679502321823048,1.2146237172310976,3.190559187322597,6.922278161349229,1.0815993801944344,4,4
31,1031,2,True,1008,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4032,359160,89.07738095238095,273,19.003174603174603,4.750793650793652,7.295873015873017,12096,0,12096,0.0,0.0,0.0,0.0,0.0,0.5990021710435801,1.9244806510981365,0.4301162633521313,0.4301162633521314,5.994489055068425,D1-D2,474,1.0,False,0.6838737469805845,1.2245317338884565,3.2155888899696063,6.907572590766556,1.0836898200687926,4,4
32,1032,2,True,1008,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4032,359268,89.10416666666667,273,19.00888888888889,4.752222222222223,7.295873015873017,12096,0,12096,0.0,0.0,0.0,0.0,0.0,0.5940034568104199,1.9139774035457835,0.4301162633521313,0.4301162633521314,5.958044942900865,D1-D2,475,1.0,False,0.6766363106330225,1.2080156397825075,3.1834417977290395,6.883959321865985,1.0839697748652335,4,4
33,1033,2,True,1010,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4040,359400,88.96039603960396,273,18.978217821782177,4.744554455445544,7.283643564356436,12120,0,12120,0.0,0.0,0.0,0.0,0.0,0.5899371848121785,1.9067784122898965,0.4301162633521313,0.4301162633521314,5.950607876613973,D1-D2,476,1.0,False,0.6720921473526462,1.2020872797424185,3.1643378035438983,6.918169916108333,1.0831736443037763,4,4
34,1034,2,True,1008,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4032,358896,89.01190476190476,273,18.98920634920635,4.747301587301588,7.295873015873017,12096,0,12096,0.0,0.0,0.0,0.0,0.0,0.5967776230174524,1.9340080100392152,0.4301162633521313,0.4301162633521314,5.964719591285511,D1-D2,475,1.0,False,0.6749800078609175,1.2063615583267615,3.1735301017042272,6.91603333215525,1.0820276926361387,4,4
35,1035,2,True,1008,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4032,359136,89.07142857142857,273,19.001904761904765,4.750476190476191,7.295873015873017,12096,0,12096,0.0,0.0,0.0,0.0,0.0,0.6037731183109402,1.9540660881364085,0.4301162633521313,0.4301162633521314,5.961206600075301,D1-D2,475,1.0,False,0.6742806392956451,1.2048021432386022,3.1698973536342994,6.895146414499332,1.0832355998951722,4,4
36,1036,2,True,1005,False,20,10000,0.05,500.0,4,8.0,0.5,4.0,8.24,0.05,5,5,True,1,0.15,6.666666666666667,0,0.0,0.0,4020,358632,89.21194029850746,273,19.031880597014926,4.757970149253731,7.3143084577114434,12060,0,12060,0.0,0.0,0.0,0.0,0.0,0.6076512119398001,1.9668970052821253,0.4301162633521313,0.4301162633521314,5.993010818261476,D1-D2,474,1.0,False,0.6863247965771248,1.2288893186054106,3.2257241302276674,6.922989692080886,1.0827680625686293,4,4
